track_id,track_name,artist_names,artist_ids,main_artist_name,main_artist_id,album_id,album_name,release_date,duration_ms,duration_min,popularity,explicit,track_url,added_at,is_local,artist_name_from_api,main_artist_genres,artist_popularity,artist_followers,title_script,song_title_language,genre_language_tags
5NOpzXCW6DqkcqoZ31coDs,我们的明天 (《重返20岁》电影主题曲),Lu Han,3fS78kAWd9dVFyaPQ363YO,Lu Han,3fS78kAWd9dVFyaPQ363YO,6D7DAt11lIjuFH1Wu3mW8B,我们的明天 (《重返20岁》电影主题曲),2015-01-08,232052,3.8675333333333333,47,False,https://open.spotify.com/track/5NOpzXCW6DqkcqoZ31coDs,2026-01-07T19:49:48Z,False,Lu Han,"['c-pop', 'chinese r&b', 'mandopop', 'chinese hip hop', 'malay pop']",43,880624,chinese,Chinese-script title,['Chinese-associated']
59lBAMCis4C6NsPdUV35Vz,愛愛愛,Khalil Fong,1YrtUPrWcPfgdl9BaD9nhd,Khalil Fong,1YrtUPrWcPfgdl9BaD9nhd,75QhyYrpr4b3sJUvmYAU3v,愛愛愛,2006-12-31,215253,3.58755,66,False,https://open.spotify.com/track/59lBAMCis4C6NsPdUV35Vz,2026-01-07T19:49:52Z,False,Khalil Fong,"['chinese r&b', 'mandopop', 'c-pop', 'taiwanese pop', 'cantopop']",61,1001094,chinese,Chinese-script title,['Chinese-associated']
1HPhCmSgdHwB6GSizcomZI,突然想起你,Elva Hsiao,6yTAPw3o7oDH7lhj34jvbH,Elva Hsiao,6yTAPw3o7oDH7lhj34jvbH,2iFxrSfOHMw68At3k5JVE9,蕭亞軒--,1999-11-17,233840,3.8973333333333335,53,False,https://open.spotify.com/track/1HPhCmSgdHwB6GSizcomZI,2026-01-07T19:49:55Z,False,Elva Hsiao,"['mandopop', 'taiwanese pop', 'c-pop', 'malay pop']",51,235586,chinese,Chinese-script title,['Chinese-associated']
6NtVX4qwWMmAtNFaG485iq,沉溺（你让我的心不再结冰）,"邹沛沛, Pank","4ST2uUeBAbGgmskBWYRB8S, 2kzAAkLOfSYyOqPIfqT4He",邹沛沛,4ST2uUeBAbGgmskBWYRB8S,3erMutM4R4j8HXNo988pk4,沉溺（你让我的心不再结冰）,2023-03-29,193773,3.22955,66,False,https://open.spotify.com/track/6NtVX4qwWMmAtNFaG485iq,2026-01-07T19:49:57Z,False,邹沛沛,"['chinese r&b', 'c-pop', 'mandopop']",55,71322,chinese,Chinese-script title,['Chinese-associated']
2aY9L0d1OPp0eVf5Vco51i,日不落,JOLIN,1r9DuPTHiQ7hnRRZ99B8nL,JOLIN,1r9DuPTHiQ7hnRRZ99B8nL,0kRUeziXEIYLkNpvE2kcWS,特務J,2007-09-21,228506,3.8084333333333333,0,False,https://open.spotify.com/track/2aY9L0d1OPp0eVf5Vco51i,2026-01-07T20:21:36Z,False,JOLIN,"['mandopop', 'c-pop', 'taiwanese pop', 'malay pop']",61,1229596,chinese,Chinese-script title,['Chinese-associated']
5GFhOxvR2MWE6hEW1Nsws3,I am I,Jeno Liu,61tZPd3UsyMyQckgDGpqrt,Jeno Liu,61tZPd3UsyMyQckgDGpqrt,4l4w0iik88CvUZ5Ubqgkah,I am I,2008-06-24,227013,3.78355,27,False,https://open.spotify.com/track/5GFhOxvR2MWE6hEW1Nsws3,2026-02-01T02:22:46Z,False,Jeno Liu,"['mandopop', 'c-pop', 'taiwanese pop']",36,16431,latin,Latin-script title,['Chinese-associated']
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,3zXjR3y2dUWklKmmp6lEhy,Let Go,2002-06-04,244506,4.0751,87,False,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,2026-02-01T02:22:50Z,False,Avril Lavigne,[],77,12579741,latin,Latin-script title,['Western/Latin-title-associated']
1ej9LT1NSgfAj6Vlyx9eVN,月光,Tiger Hu,3PpIzdLny8HwTnKp9joXdj,Tiger Hu,3PpIzdLny8HwTnKp9joXdj,2hNr56jZeSx1gGzjAeoxzC,男人歌 (全胜铂金版),2008,272026,4.533766666666667,35,False,https://open.spotify.com/track/1ej9LT1NSgfAj6Vlyx9eVN,2026-02-01T02:22:56Z,False,Tiger Hu,"['gufeng', 'mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b', 'chinese hip hop']",48,237895,chinese,Chinese-script title,['Chinese-associated']
7fIP72hHPvNFI8XPYsxwQ9,歐若拉,Angela Chang,4txug0T3vYc9p20tuhfCUa,Angela Chang,4txug0T3vYc9p20tuhfCUa,5sIp9R8I3ZuXESPpkBI4i2,歐若拉,2004-12-01,259160,4.319333333333334,53,False,https://open.spotify.com/track/7fIP72hHPvNFI8XPYsxwQ9,2026-02-01T02:23:30Z,False,Angela Chang,"['mandopop', 'taiwanese pop', 'c-pop', 'malay pop']",52,653420,chinese,Chinese-script title,['Chinese-associated']
6UbGBmgyD376UCsd4tQ2Sy,Everybody Knows I Love You - Unplugged,Lovebugs,6piYZXXQCn1uniYcHcwS89,Lovebugs,6piYZXXQCn1uniYcHcwS89,1VRmYB5hIWxTJNgyRvYINi,Naked,2005-01-31,202413,3.37355,12,False,https://open.spotify.com/track/6UbGBmgyD376UCsd4tQ2Sy,2026-02-15T23:01:04Z,False,Lovebugs,[],25,6523,latin,Latin-script title,['Western/Latin-title-associated']
